,Price,Address,Specifics
148,"$1,299,000",20 Sir Kay Dr,4+2BD2BA6 Parking
149,"$1,720,000",3247 E 29TH AVENUE,"2BD3BA1 Parking2,891 sqft"
150,"$7,988,000",1925 SW MARINE DRIVE,"6BD8BA10 Parking8,514 sqft"
151,"$1,297,000",4709 LAUREL AVENUE,"4BD2BA3 Parking1,860 sqft"
152,"$599,000",884 Stewart Line,"2+1BD2BA12 Parking700-1,100 sqft"
153,"$975,000",640 Burning Bush Rd,"4BD3BA6 Parking3,500-5,000 sqft"
154,"$3,498,500",1251 Tourmaline Crt,"4+2BD6BA8 Parking3,500-5,000 sqft"
155,"$1,249,900",19 Rugman Cres,"4BD4BA4 Parking2,000-2,500 sqft"
156,"$1,385,000",65 Edith St,4BD3BA4 Parking
157,"$1,019,900",58 Wells Cres,"4BD3BA5 Parking2,000-2,500 sqft"
158,"$1,174,900",908 Mount Allan Ave,4BD3BA6 Parking
159,"$829,900",71 Rickaby St,"4BD3BA4 Parking2,000-2,500 sqft"
160,"$949,900",21 Cahill Dr,4BD3BA4 Parking
161,"$1,050,000",37 Mallard Cres,3+3BD4BA5 Parking
162,"$999,900",6 Lockwood Rd,3BD3BA6 Parking
163,"$874,900",2471 Concession Road 4,"3BD3BA7 Parking1,500-2,000 sqft"
164,"$979,000",27144 33 AVENUE,"3BD3BA3 Parking1,910 sqft"
165,"$849,000",2 - 45766 BRITTON AVENUE,"4BD3BA4 Parking2,390 sqft"
166,"$2,488,000",4340 RIVER ROAD,"6BD4BA8 Parking2,879 sqft"
167,"$2,448,000",1322 E 62ND AVENUE,"6BD6BA4 Parking3,955 sqft"
168,"$699,900",39 - 47470 CHARTWELL DRIVE,"3BD3BA4 Parking1,632 sqft"
169,"$799,900",1568 4TH CONC Road W,"3BD1BA2 Parking1,195 sqft"
170,"$1,199,000",3214 WAGNER DRIVE,"6BD4BA5 Parking3,100 sqft"
171,"$1,249,900",44935 ANGLERS BOULEVARD,"5BD3BA4 Parking2,264 sqft"
172,"$849,999",50 Greene Dr,3+2BD3BA4 Parking
173,"$5,299,000",184 Chartwell Rd,"5BD6BA16 Parking+5,000 sqft"
174,"$3,150,000",406 Valley Dr,"4BD6BA6 Parking3,500-5,000 sqft"
175,"$1,580,000",985 Southdown Rd,"4BD3BA6 Parking2,000-2,500 sqft"
176,"$848,000",23 Hurst Dr,"2BD3BA6 Parking1,100-1,500 sqft"
177,"$899,999",9 Alaskan Hts,"3BD3BA3 Parking2,000-2,500 sqft"
178,"$3,000,000",12 - C520 Regional Rd,4+1BD5BA20 Parking
179,"$664,900",46018 KING AVENUE,"2BD2BA3 Parking1,090 sqft"
180,"$2,138,000",31 GILMORE AVENUE,"5BD3BA4 Parking2,742 sqft"
181,"$669,900",7063 Dirdene St,"3+1BD2BA3 Parking1,100-1,500 sqft"
182,"$2,999,900",9586 Twenty Rd,"3+1BD4BA13 Parking2,500-3,000 sqft"
183,"$780,000",5 - 257 Carla Ave,"3BD3BA2 Parking1,100-1,500 sqft"
184,"$499,800",85 Durham St W,"3BD2BA3 Parking1,100-1,500 sqft"
185,"$1,199,900",890 Forest Glen Ave,"3BD2BA4 Parking1,500-2,000 sqft"
186,"$999,786",26 Nancy Mccredie Dr,3+2BD3BA5 Parking
187,"$1,149,900",45 Evergreen Ave,"3+1BD3BA10 Parking1,500-2,000 sqft"
188,"$1,499,900",3467 FRANKLIN STREET,"4BD4BA1 Parking1,498 sqft"
189,"$1,499,900",3469 FRANKLIN STREET,"4BD4BA1 Parking1,497 sqft"
190,"$599,800",34 Kensington Ave N,"3BD1BA1 Parking1,500-2,000 sqft"
191,"$2,088,000",40 Hedgewood Dr,4BD5BA4 Parking
192,"$2,699,999",3428 E 52ND AVENUE,"5BD3BA3 Parking3,067 sqft"
193,"$949,000",3 Natures Trail,"2+1BD3BA4 Parking1,322 sqft"
194,"$599,000",884 Stewart Line,"2+1BD2BA12 Parking35,544 sqft"
195,"$649,000",14464 County Road 2,"3+2BD2BA11 Parking47,916 sqft"
196,"$996,700",54 Turnberry Trail,"2+2BD3BA6 Parking1,540 sqft"
197,"$899,900",2121 Westwick Walk,"3+1BD3BA4 Parking2,157 sqft"
198,"$595,000",30 Stevenson Street S,3BD1BA0 Parking926 sqft
199,"$649,900",822 Commissioners Road W,"2BD1BA0 Parking1,051 sqft"
200,"$899,900",39497 Belfast Road,"4BD3BA0 Parking65,535 sqft"
201,"$1,500,000",26 Hickory Street W,"5+3BD4BA3 Parking1,400 sqft"
202,"$1,500,000",26 Hickory Street W,"8BD4BA3 Parking1,400 sqft"
203,"$849,900",38 Tilbury Street,"3BD4BA0 Parking1,693 sqft"
204,"$999,900",422 Timbercroft Crescent,"4+2BD3BA0 Parking1,892 sqft"
205,"$769,900",32 Schooner Drive,"4BD3BA0 Parking2,184 sqft"
206,"$1,099,999",6371 6th Line,3BD1BA10 Parking980 sqft
207,"$1,259,000",94 Northview Crescent,"4+1BD4BA11 Parking10,018 sqft"
208,"$1,064,900",692 County Road 3 Road,"4BD2BA10 Parking32,713 sqft"
209,"$2,499,000",216 River Birch Street,"3+2BD6BA9 Parking4,079 sqft"
210,"$2,699,000",1725 Chesbro Crescent,"3+1BD4BA6 Parking2,802 sqft"
211,"$6,359,000",320 Dalewood Drive,"4+2BD8BA13 Parking16,552 sqft"
212,"$649,900",22 David Street,"2BD2BA0 Parking1,280 sqft"
213,"$744,900",1670 Doyle Road,"3+1BD3BA12 Parking1,442 sqft"
214,"$46,900",156 Youngfox Road,
215,"$574,900",868 Adams Road,2BD1BA4 Parking819 sqft
216,"$829,900",19 Douglas Drive,"3+1BD2BA4 Parking1,350 sqft"
217,"$264,900",90 Allison Street,"3BD1BA0 Parking22,651 sqft"
218,"$324,900",53 Park Street,"3BD1BA0 Parking26,571 sqft"
219,"$449,000",110 Cedars Resort Lane,"2BD1BA3 Parking1,050 sqft"
220,"$119,900",26 East Grove Crescent,"2+2BD2BA0 Parking10,018 sqft"
221,"$789,900",3029 Monarch Drive Drive,"3+1BD4BA3 Parking1,475 sqft"
222,"$87,900",106 Winnipeg Street,"3BD1BA0 Parking10,018 sqft"
223,"$164,900",10 Newton Avenue,"3BD2BA0 Parking6,098 sqft"
224,"$799,900",36 Colquhoun Street,"2+1BD3BA8 Parking1,279 sqft"
225,"$39,900",5 Ditmars Drive,
226,"$829,900",71 Rickaby Street,"4BD3BA4 Parking4,399 sqft"
227,"$179,900",181 Valley Road,"3BD1BA0 Parking65,535 sqft"
228,"$849,000",26 Viola Court,"3BD4BA6 Parking9,104 sqft"
229,"$899,000",128 Wolven Street,"2BD2BA4 Parking47,916 sqft"
230,"$650,000",1030 Sunnidale Road,"3BD2BA0 Parking1,410 sqft"
231,"$769,000",142 Nipissing Road,"1+1BD2BA10 Parking65,535 sqft"
232,"$679,900",258 Mountain Avenue,"3+1BD2BA0 Parking32,757 sqft"
233,"$1,250,000",805 Macpherson Drive,"1+2BD3BA6 Parking39,900 sqft"
234,"$1,499,000",3 - 4209 Muskoka Road 117,"3BD2BA3 Parking19,776 sqft"
235,"$649,900",687 Roosevelt Drive,"2+2BD3BA0 Parking1,300 sqft"
236,"$700,000",7127 36/37 Nottawasaga Side Road E,"2BD2BA0 Parking1,600 sqft"
237,"$669,900",7063 Dirdene Street,"3+1BD2BA3 Parking1,166 sqft"
238,"$749,900",368 Vogel Place,"3BD3BA0 Parking1,563 sqft"
239,"$179,900",209 Hurkett (Hwy 582) Road,"2BD1BA0 Parking65,535 sqft"
240,"$69,900",130 Harkness Street,"2+2BD2BA0 Parking6,969 sqft"
241,"$99,900",129 Tamarack Avenue,"3BD1BA0 Parking10,890 sqft"
242,"$899,999",9 Alaskan Heights,"3BD3BA0 Parking2,084 sqft"
243,"$895,000",203 Marshall Avenue,"2+1BD2BA0 Parking1,054 sqft"
244,"$1,149,900",45 Evergreen Avenue,"3+1BD3BA0 Parking1,837 sqft"
245,"$639,900",847 Headley Drive,"3BD3BA7 Parking1,150 sqft"
246,"$624,900",156 Josselyn Drive,"3+1BD2BA0 Parking1,388 sqft"
247,"$3,150,000",406 Valley Drive,"4BD6BA0 Parking3,502 sqft"
248,"$1,749,000",1340 Old English Lane,"4+1BD4BA0 Parking2,161 sqft"
249,"$489,900",165 Mcfarlane Road,"4BD2BA0 Parking65,535 sqft"
250,"$799,000",22 Goheen Street,"3BD3BA2 Parking1,742 sqft"
251,"$1,049,990",12 Wyman Crescent,"3BD4BA4 Parking1,642 sqft"
252,"$1,099,900",1525 Swann Crescent,"3BD3BA0 Parking1,763 sqft"
253,"$629,000",220 River Road,"4BD3BA2 Parking4,356 sqft"
254,"$849,000",72 Countryside Crescent,"3+1BD3BA0 Parking1,812 sqft"
255,"$579,900",146 Old Portage Road,"2BD2BA7 Parking1,150 sqft"
256,"$769,900",78 Nicoles Trail,"3BD3BA0 Parking1,659 sqft"
257,"$1,189,000",4 Silver Crescent,"3BD4BA4 Parking1,728 sqft"
258,"$499,800",85 Durham Street W,"3BD2BA0 Parking1,248 sqft"
259,"$579,900",7 Leesboro Trail,"3BD4BA3 Parking4,922 sqft"
260,"$549,900",76 Spring Street,"3BD2BA0 Parking1,528 sqft"
261,"$1,699,900",1073 Kent Avenue,"3BD3BA0 Parking12,196 sqft"
262,"$399,000",33 Charlton Crescent,"3+1BD2BA0 Parking1,000 sqft"
263,"$699,888",314 Hiawatha Drive,"4BD3BA0 Parking2,220 sqft"
264,"$729,000",122 Webster Street,"3BD2BA0 Parking1,018 sqft"
265,"$289,900",156 White Lake Road,"4BD1BA0 Parking65,535 sqft"
266,"$349,900",235 White Lake Road,
267,"$569,000",906 Machar Strong Boundary Road,"2BD1BA0 Parking65,535 sqft"
268,"$699,900",85 Larkspur Crescent,"3+1BD2BA8 Parking1,096 sqft"
269,"$699,900",813 Fairway Crescent,"3BD3BA0 Parking1,240 sqft"
270,"$399,900",31 Toronto Street,"2BD1BA4 Parking1,251 sqft"
271,"$659,900",48 Anderson Street,"1+2BD2BA6 Parking1,022 sqft"
272,"$1,949,900",81 Great Lakes Boulevard,"4BD5BA0 Parking3,260 sqft"
273,"$879,900",47 Brofoco Drive,"4BD2BA12 Parking23,043 sqft"
274,"$1,249,000",13 Mccullogh Drive,"4BD3BA0 Parking32,670 sqft"
275,"$699,000",8289 Mcgarry Drive,"3BD2BA2 Parking1,450 sqft"
276,"$699,900",92 Walnut Street,"2+1BD3BA2 Parking1,146 sqft"
277,"$649,000",246 Townline Road W,"2+2BD2BA8 Parking13,460 sqft"
278,"$949,900",1390 Aldersbrook Road,"3+2BD2BA12 Parking6,316 sqft"
279,"$990,000",25 Christy Drive,"2+2BD4BA6 Parking2,000 sqft"
280,"$1,899,900",1350 Sedgewick Crescent,"3+2BD2BA4 Parking1,128 sqft"
281,"$275,000",Address not available,
282,"$659,900",48 Anderson Cres,"1+2BD2BA6 Parking700-1,100 sqft"
283,"$1,099,000",50 Ford Wilson Blvd,"4BD4BA4 Parking2,500-3,000 sqft"
284,"$1,495,000",12 O'shea Cres,5BD4BA4 Parking
285,"$1,198,000",13094 66B AVENUE,"3BD2BA3 Parking1,692 sqft"
286,"$1,298,000",9939 158A STREET,"4BD3BA4 Parking2,985 sqft"
287,"$675,000",642 North Shore Dr E,2+1BD2BA12 Parking
288,"$1,699,900",1073 Kent Ave,"3BD3BA5 Parking1,500-2,000 sqft"
289,"$1,899,900",1350 Sedgewick Cres,"3+2BD2BA4 Parking1,100-1,500 sqft"
290,"$945,000",65 Dalbeattie Ave,2+3BD2BA3 Parking
291,"$1,049,990",12 Wyman Cres,"3BD4BA4 Parking1,500-2,000 sqft"
292,"$999,900",12 Hinkson St,4BD3BA2 Parking
293,"$1,899,000",6692 RUSSELL AVENUE,"3BD4BA2 Parking1,858 sqft"
294,"$1,188,000",9296 133A STREET,"3BD3BA3 Parking2,018 sqft"
